id,avis
com.tencent.ig,s'il vous plaît ajouter la haute définition HD sur pour les tecno spark 20c j'ai 256 go de mémoire rom et 12 go de mémoire RAM mais l'HD n'es pas disponible c'est pas cool et aussi les beug a certains moments on voit pas les bâtiments on flotte dans je ne sais quoi et on se fait tuer s'il vous plaît arranger ça.....
com.tencent.ig,tooop
com.tencent.ig,the best
com.tencent.ig,Top
com.tencent.ig,Freee falassetine
com.tencent.ig,je kiff trop se jeu
com.tencent.ig,les mouvements bizarres quand on a une mauvaise connexion pitié regler le problème
com.tencent.ig,ina jin dadin wannan wasan
com.tencent.ig,🪽❤️
com.tencent.ig,Ce tré cool
com.tencent.ig,BEAUCOUP TROP DE TRICHEUR SUR METRO ROYALE !
com.tencent.ig,"Le jeux est super mais,quand on joue à +60FPS le jeux devient plus difficile"
com.tencent.ig,sarotra be Ilay jeu
com.tencent.ig,du jamais Vu
com.tencent.ig,mon jeu quitte 5 fois en une minute régler le problème ou Sinon je vais abandonner le jeu
com.tencent.ig,"Pubg est un excellent jeu et qui est si je ne m'abuse le pilier du genre battle royal, mais malheureusement il ne se renouvelle pas le gameplay reste le même que depuis qu'on la connue, les mouvements des personnages sont lents, il n'y a pas de glissade, la map extrêmement grande et chiante à parcourir, long chargement pour entré dans le jeu, extrêmement gourmand en ressources et ça en devient un peu trop lassant pour moi je vais passer à autre chose"
com.tencent.ig,je joue et j'aime ce jeu mais je mets 4 étoiles parce qu'il n'est pas parfait comme tout les jeux Sinon il est cool ce jeu 😁
com.tencent.ig,très bien ce jeu
com.tencent.ig,très belle expérience merci PUBG
com.tencent.ig,Très bon jeu dommage et décevant qu'il y a des gens qui se sentent obligé de devoir tricher pour ce sentir supérieur aux autres donc j'arrête là
com.tencent.ig,💓💓
com.tencent.ig,excellent
com.tencent.ig,good game with rafik fouchane
com.tencent.ig,bon
com.tencent.ig,"Superbe jeux, très adictif, je joue de temps en temps avec toujours un grand plaisir,pour me détendre."
com.tencent.ig,je kiff trop
com.tencent.ig,fentastique😁
com.tencent.ig,meilleur jeux Android
